股票代码,股票名称,首次上榜日期,首次上榜排名,是否有信号,信号日期,信号时间,提前天数,入场价格,出场价格,盈亏%,出场原因,Raw信号数,Executable信号数,Tick条数,Tick覆盖率%,Tick是否有效,错误信息
000021.SZ,深科技,2025-11-17,,否,,,,,,,,0,0,9659,2781.82,是,
000039.SZ,中集集团,2026-02-04,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000056.SZ,皇庭国际,2026-02-06,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000066.SZ,中国长城,2025-11-17,,否,,,,,,,,0,0,9634,2781.82,是,
000070.SZ,特发信息,2025-11-17,,否,,,,,,,,0,0,9214,2781.82,是,
000156.SZ,华数传媒,2025-11-17,,否,,,,,,,,0,0,8164,2781.82,是,
000523.SZ,红棉股份,2026-02-05,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000525.SZ,红太阳,2026-02-09,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000533.SZ,顺钠股份,2026-02-04,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000547.SZ,航天发展,2025-11-17,,否,,,,,,,,0,0,9617,2781.82,是,
000555.SZ,神州信息,2026-02-12,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000559.SZ,万向钱潮,2025-11-17,,否,,,,,,,,0,0,9662,2781.82,是,
000560.SZ,我爱我家,2026-02-04,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000592.SZ,平潭发展,2025-11-17,,否,,,,,,,,0,0,14483,4172.73,是,
000657.SZ,中钨高新,2026-02-10,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000681.SZ,视觉中国,2025-11-17,,否,,,,,,,,0,0,9498,2781.82,是,
000700.SZ,模塑科技,2026-02-06,,否,,,,,,,,0,0,43236,12518.18,是,
000711.SZ,ST京蓝,2026-02-11,,否,,,,,,,,0,0,0,0.0,否,Tick数据不足: 0条
000737.SZ,北方铜业,2026-02-04,,否,,,,,,,,0,0,38633,11127.27,是,
000738.SZ,航发控制,2025-11-17,,否,,,,,,,,0,0,8328,2781.82,是,
