股票代码,股票名称,首次上榜日期,回测窗口开始,回测窗口结束,Tick条数,有数据天数,覆盖率%,价格高点,价格低点,是否有效,错误信息
000021.SZ,深科技,2025-11-17,2025-11-07,2025-11-17,9659,306,2781.82,,,是,
000039.SZ,中集集团,2026-02-04,2026-01-25,2026-02-04,0,0,0.0,,,否,Tick数据不足: 0条
000056.SZ,皇庭国际,2026-02-06,2026-01-27,2026-02-06,0,0,0.0,,,否,Tick数据不足: 0条
000066.SZ,中国长城,2025-11-17,2025-11-07,2025-11-17,9634,306,2781.82,,,是,
000070.SZ,特发信息,2025-11-17,2025-11-07,2025-11-17,9214,306,2781.82,,,是,
000156.SZ,华数传媒,2025-11-17,2025-11-07,2025-11-17,8164,306,2781.82,,,是,
000523.SZ,红棉股份,2026-02-05,2026-01-26,2026-02-05,0,0,0.0,,,否,Tick数据不足: 0条
000525.SZ,红太阳,2026-02-09,2026-01-30,2026-02-09,0,0,0.0,,,否,Tick数据不足: 0条
000533.SZ,顺钠股份,2026-02-04,2026-01-25,2026-02-04,0,0,0.0,,,否,Tick数据不足: 0条
000547.SZ,航天发展,2025-11-17,2025-11-07,2025-11-17,9617,306,2781.82,,,是,
000555.SZ,神州信息,2026-02-12,2026-02-02,2026-02-12,0,0,0.0,,,否,Tick数据不足: 0条
000559.SZ,万向钱潮,2025-11-17,2025-11-07,2025-11-17,9662,306,2781.82,,,是,
000560.SZ,我爱我家,2026-02-04,2026-01-25,2026-02-04,0,0,0.0,,,否,Tick数据不足: 0条
000592.SZ,平潭发展,2025-11-17,2025-11-07,2025-11-17,14483,459,4172.73,,,是,
000657.SZ,中钨高新,2026-02-10,2026-01-31,2026-02-10,0,0,0.0,,,否,Tick数据不足: 0条
000681.SZ,视觉中国,2025-11-17,2025-11-07,2025-11-17,9498,306,2781.82,,,是,
000700.SZ,模塑科技,2026-02-06,2026-01-27,2026-02-06,43236,1377,12518.18,,,是,
000711.SZ,ST京蓝,2026-02-11,2026-02-01,2026-02-11,0,0,0.0,,,否,Tick数据不足: 0条
000737.SZ,北方铜业,2026-02-04,2026-01-25,2026-02-04,38633,1224,11127.27,,,是,
000738.SZ,航发控制,2025-11-17,2025-11-07,2025-11-17,8328,306,2781.82,,,是,
