threshold,precision_big_up,precision_limit_up,recall_big_up,recall_limit_up,avg_filter_count,f1_big,f1_limit
1.0,11.7,4.1,91.5,87.8,2067,20.745082840809996,7.833315199651833
1.1,14.1,5.0,89.0,86.2,1698,24.34099505382601,9.450718123012827
1.2,16.8,6.0,86.0,84.1,1393,28.106215348701486,11.199644878481855
1.3,19.6,7.1,82.5,81.8,1145,31.67172656938596,13.064447193791475
1.4,22.7,8.4,78.6,79.1,944,35.22297897542197,15.185464518340758
1.5,25.7,9.8,74.5,76.3,782,38.21275321824169,17.367088607594937
1.6,28.7,11.2,70.0,73.3,651,40.705095734981256,19.428706661933496
1.7,31.8,12.7,65.6,70.0,546,42.830920850015396,21.49679603433684
1.8,34.6,14.3,60.9,66.6,459,44.123966076850586,23.541713014460512
1.9,37.5,15.8,56.4,62.9,388,45.043126397614735,25.252699784017278
2.0,40.1,17.4,52.0,59.4,330,45.2763000759961,26.912120817601874
2.1,42.4,18.9,47.8,55.9,282,44.93337767431549,28.24515439112418
2.2,44.8,20.5,43.8,52.6,242,44.28935786028664,29.498016687183696
2.3,47.0,22.1,40.2,49.2,209,43.32989336085311,30.495582667227595
2.4,48.9,23.5,36.6,45.7,181,41.86036720851362,31.034532581996817
2.5,50.8,25.0,33.4,42.5,157,40.29735185844911,31.476818249148273
2.6,52.4,26.3,30.2,39.1,137,38.312068756809104,31.442592875707078
2.7,53.6,27.4,27.4,35.9,120,36.258239723490924,31.074395830042643
2.8,54.9,28.3,24.8,32.9,105,34.16183665788483,30.422153242934158
2.9,56.4,29.6,22.6,30.4,92,32.26528287558537,29.989668388601903
3.0,57.6,30.8,20.6,28.1,81,30.342922899884925,29.38312680359871
