code,name,date,label,success,sustain_score,env_score,is_true_breakout,confidence,pnl_pct,max_drawdown,data_source,sustain_duration,entry_price
000547,航天发展,2026-01-20,真起爆,True,0.0,0.72,False,0.7,0,0,tick,0.0,
000547,航天发展,2026-02-05,真起爆,True,0.0,0.73,False,0.7,0,0,tick,0.0,
000547,航天发展,2026-01-23,骗炮,True,0.68,0.6,True,0.8,0,0,tick,181.2,28.36
000547,航天发展,2026-02-12,骗炮,True,0.0,0.57,False,0.7,0,0,tick,0.0,
300058,蓝色光标,2026-01-21,真起爆,True,0.69,0.71,True,0.8,0,0,tick,169.4,18.5
300058,蓝色光标,2026-02-06,真起爆,True,0.0,0.69,False,0.7,0,0,tick,0.0,
300058,蓝色光标,2026-01-24,骗炮,True,0.0,0.0,,0.0,0,0,tick,0.0,
000592,平潭发展,2026-01-20,真起爆,True,0.35,0.72,,0.5,0,0,tick,78.0,
000592,平潭发展,2026-01-21,骗炮,True,0.0,0.71,False,0.7,0,0,tick,0.0,
002792,通宇通讯,2026-01-05,骗炮,True,0.0,0.0,,0.0,0,0,tick,0.0,
002792,通宇通讯,2026-01-12,骗炮,True,0.0,0.0,,0.0,0,0,tick,0.0,
300017,网宿科技,2026-01-26,真起爆,True,0.65,0.87,True,0.8,0,0,tick,221.8,11.94
300017,网宿科技,2026-02-13,骗炮,True,0.23,0.47,False,0.7,0,0,tick,11.8,
603778,国晟科技,2026-01-20,真起爆,True,0.0,0.72,False,0.7,0,0,tick,0.0,
603778,国晟科技,2026-01-14,骗炮,True,0.0,0.0,,0.0,0,0,tick,0.0,
603778,国晟科技,2026-01-22,骗炮,True,0.68,0.42,,0.5,0,0,tick,97.0,17.07
301005,超捷股份,2026-02-05,真起爆,True,0.0,0.73,False,0.7,0,0,tick,0.0,
301005,超捷股份,2026-01-20,真起爆,True,0.0,0.72,False,0.7,0,0,tick,0.0,
301005,超捷股份,2026-01-15,骗炮,True,0.0,0.72,False,0.7,0,0,tick,0.0,
603516,淳中科技,2026-01-06,真起爆,True,0.35,0.56,,0.5,0,0,tick,31.8,
603516,淳中科技,2026-01-20,真起爆,True,0.0,0.72,False,0.7,0,0,tick,0.0,
