ts_code,symbol,name,area,industry,list_date,avg_amount_5d,turnover_rate,volume_ratio
002969.SZ,002969,嘉美包装,安徽,广告包装,20191202,52281.9124,25.6694,49.18
920130.BJ,920130,立方控股,浙江,软件服务,20231102,35516.5846,26.935,9.84
301153.SZ,301153,中科江南,北京,软件服务,20220518,72894.854,9.7528,8.98
603726.SH,603726,朗迪集团,浙江,家用电器,20160421,70607.0144,14.494,8.48
920190.BJ,920190,雷神科技,山东,IT设备,20221223,36036.317800000004,10.7965,7.52
002908.SZ,002908,德生科技,广东,软件服务,20171020,55964.2934,12.7263,6.98
920270.BJ,920270,天铭科技,浙江,汽车配件,20220902,44785.710399999996,21.3413,6.82
002757.SZ,002757,南兴股份,广东,专用机械,20150527,121546.2494,17.3989,6.81
603215.SH,603215,比依股份,浙江,家用电器,20220218,74386.1066,11.0955,5.86
300986.SZ,300986,志特新材,江西,建筑工程,20210430,44390.9936,5.8007,5.53
301229.SZ,301229,纽泰格,江苏,汽车配件,20220222,73498.3752,14.5615,5.31
300936.SZ,300936,中英科技,江苏,元器件,20210126,31060.495799999997,9.3065,5.25
000665.SZ,000665,湖北广电,湖北,影视音像,19961210,163976.658,13.0426,5.21
603418.SH,603418,友升股份,上海,汽车配件,20250923,101275.3224,22.9272,5.16
002659.SZ,002659,凯文教育,北京,文教休闲,20120309,58685.6136,8.9336,4.92
300654.SZ,300654,世纪天鸿,山东,出版业,20170926,61212.87759999999,8.952,4.84
001231.SZ,001231,农心科技,陕西,农药化肥,20220819,44036.0486,18.5689,4.69
000809.SZ,000809,和展能源,辽宁,电气设备,19980616,48180.5828,8.1482,4.66
603229.SH,603229,奥翔药业,浙江,化学制药,20170509,34516.7394,2.0222,4.65
301265.SZ,301265,华新环保,北京,环境保护,20221216,75729.4344,16.4727,4.58
301042.SZ,301042,安联锐视,广东,IT设备,20210805,147185.6996,12.207,4.52
002457.SZ,002457,青龙管业,宁夏,塑料,20100803,39190.578,4.8287,4.39
002148.SZ,002148,北纬科技,北京,互联网,20070810,84480.118,9.6095,4.39
000026.SZ,000026,飞亚达,深圳,服饰,19930603,74073.604,5.8888,4.39
002945.SZ,002945,华林证券,西藏,证券,20190117,158971.5852,1.7344,4.33
300840.SZ,300840,酷特智能,山东,服饰,20200708,259795.00240000003,35.3731,4.33
002367.SZ,002367,康力电梯,江苏,运输设备,20100312,71675.87479999999,5.1462,4.31
002527.SZ,002527,新时达,上海,电器仪表,20101224,393791.885,20.2665,4.29
600626.SH,600626,申达股份,上海,汽车配件,19930107,67588.7786,5.7909,4.28
002177.SZ,002177,御银股份,广东,其他商业,20071101,707101.7788,56.9879,4.21
300599.SZ,300599,雄塑科技,广东,塑料,20170123,45478.605,11.702,4.11
002860.SZ,002860,星帅尔,浙江,家用电器,20170412,103021.3746,8.6733,3.99
002591.SZ,002591,恒大高新,江西,环境保护,20110621,81665.5148,18.9787,3.97
600681.SH,600681,百川能源,湖北,供气供热,19931018,130168.468,9.2238,3.92
920300.BJ,920300,辰光医疗,上海,医疗保健,20221207,31075.343799999995,12.4649,3.91
603533.SH,603533,掌阅科技,北京,互联网,20170921,269711.6958,12.1969,3.89
300612.SZ,300612,宣亚国际,北京,广告包装,20170215,257865.30359999998,33.6142,3.84
300894.SZ,300894,火星人,浙江,家用电器,20201231,34296.070400000004,3.9183,3.79
603156.SH,603156,养元饮品,河北,软饮料,20180212,137647.797,1.5376,3.74
601008.SH,601008,连云港,江苏,港口,20070426,69895.22260000001,4.0115,3.72
300349.SZ,300349,金卡智能,浙江,电器仪表,20120817,179222.6244,12.2685,3.66
300781.SZ,300781,因赛集团,广东,广告包装,20190606,102143.32639999999,9.25,3.62
002962.SZ,002962,五方光电,湖北,元器件,20190917,33405.5426,4.045,3.62
300740.SZ,300740,水羊股份,湖南,日用化工,20180208,226813.3294,10.5094,3.61
603722.SH,603722,阿科力,江苏,化工原料,20171025,66683.62240000001,6.3107,3.55
300567.SZ,300567,精测电子,湖北,电器仪表,20161122,679967.4956,12.3541,3.52
002094.SZ,002094,青岛金王,山东,日用化工,20061215,187032.93,13.0663,3.52
603787.SH,603787,新日股份,江苏,摩托车,20170427,38289.0268,4.4383,3.49
002921.SZ,002921,联诚精密,山东,汽车配件,20171227,77884.077,13.5563,3.49
300789.SZ,300789,唐源电气,四川,运输设备,20190828,31742.2002,5.0768,3.47
300218.SZ,300218,安利股份,安徽,塑料,20110518,60369.522399999994,6.0597,3.41
600861.SH,600861,北京人力,北京,文教休闲,19940520,50119.0696,2.5967,3.4
300170.SZ,300170,汉得信息,上海,软件服务,20110201,924936.1978,18.1478,3.35
920227.BJ,920227,美登科技,浙江,软件服务,20221228,35415.3624,11.6066,3.35
300323.SZ,300323,华灿光电,湖北,半导体,20120601,93871.4664,4.6072,3.29
603055.SH,603055,台华新材,浙江,纺织,20170921,36063.1964,1.4633,3.28
601827.SH,601827,三峰环境,重庆,环境保护,20200605,31096.493200000004,0.73,3.27
301101.SZ,301101,明月镜片,江苏,文教休闲,20211216,104329.375,4.5103,3.26
605028.SH,605028,世茂能源,浙江,供气供热,20210712,65515.88220000001,4.6889,3.26
600273.SH,600273,嘉化能源,浙江,化工原料,20030627,85554.239,2.4198,3.22
300234.SZ,300234,开尔新材,浙江,陶瓷,20110622,53718.04280000001,9.5667,3.17
920670.BJ,920670,数字人,山东,软件服务,20201208,52603.2632,15.876,3.16
001299.SZ,001299,美能能源,陕西,供气供热,20221031,116808.9656,13.6129,3.16
603278.SH,603278,大业股份,山东,钢加工,20171113,483291.18559999997,35.9226,3.12
600556.SH,600556,天下秀,广西,互联网,20010807,297012.04240000003,8.8793,3.12
688369.SH,688369,致远互联,北京,软件服务,20191031,60040.3338,6.9193,3.11
002652.SZ,002652,扬子新材,江苏,其他建材,20120119,222509.0894,30.3662,3.08
688175.SH,688175,高凌信息,广东,通信设备,20220315,46833.609000000004,3.908,3.08
300364.SZ,300364,中文在线,北京,出版业,20150121,545444.5992,10.5406,3.06
603037.SH,603037,凯众股份,上海,汽车配件,20170120,145175.43560000003,11.8407,3.06
002228.SZ,002228,合兴包装,福建,广告包装,20080508,652191.3764000001,26.96,3.05
000681.SZ,000681,视觉中国,江苏,互联网,19970121,847447.0960000001,17.1721,3.04
600872.SH,600872,中炬高新,广东,食品,19950124,87357.177,1.9681,3.0
