stock_code,trade_date,param_id,param_desc,total_signals,tick_count,error
600589.SH,20251114,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4800,
600589.SH,20251114,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4800,
600589.SH,20251117,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4784,
600589.SH,20251117,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4784,
600589.SH,20251118,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4789,
600589.SH,20251118,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4789,
603533.SH,20251114,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4745,
603533.SH,20251114,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4745,
603533.SH,20251117,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4709,
603533.SH,20251117,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4709,
603533.SH,20251118,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4794,
603533.SH,20251118,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4794,
300182.SZ,20251114,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4701,
300182.SZ,20251114,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4701,
300182.SZ,20251117,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4647,
300182.SZ,20251117,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4647,
300182.SZ,20251118,0,vol_0.05_vol_surge_1.2_breakout_0.005,0,4736,
300182.SZ,20251118,1,vol_0.03_vol_surge_1.5_breakout_0.01,0,4736,
