volatility_threshold,volume_surge,breakout_strength,total_signals,avg_signals_per_day,avg_return_5min,total_return_count
0.01,1.1,0.001,0,0.0,0,0
0.01,1.1,0.003,0,0.0,0,0
0.01,1.1,0.005,0,0.0,0,0
0.01,1.1,0.008,0,0.0,0,0
0.01,1.1,0.01,0,0.0,0,0
0.01,1.2,0.001,0,0.0,0,0
0.01,1.2,0.003,0,0.0,0,0
0.01,1.2,0.005,0,0.0,0,0
0.01,1.2,0.008,0,0.0,0,0
0.01,1.2,0.01,0,0.0,0,0
0.01,1.3,0.001,0,0.0,0,0
0.01,1.3,0.003,0,0.0,0,0
0.01,1.3,0.005,0,0.0,0,0
0.01,1.3,0.008,0,0.0,0,0
0.01,1.3,0.01,0,0.0,0,0
0.01,1.4,0.001,0,0.0,0,0
0.01,1.4,0.003,0,0.0,0,0
0.01,1.4,0.005,0,0.0,0,0
0.01,1.4,0.008,0,0.0,0,0
0.01,1.4,0.01,0,0.0,0,0
0.01,1.5,0.001,0,0.0,0,0
0.01,1.5,0.003,0,0.0,0,0
0.01,1.5,0.005,0,0.0,0,0
0.01,1.5,0.008,0,0.0,0,0
0.01,1.5,0.01,0,0.0,0,0
